Sub-Borough Area,year,unit_occ_own_pct,hp_first_fhava_pct,hp_first_orig_lmi_app_pct,unit_num,hh_inc_own_med_adj,hh_inc_rent_med_adj,rent_burden_med,voucher_pct,Poverty rate,Population,pop_race_asian_pct,pop_race_black_pct,pop_race_hisp_pct,pop_race_white_pct,sb,gid_x,crowding_number,crowding_percent,Adults with Independent Living Difficulty_Number,Adults with Independent Living Difficulty_Percent,High School Graduation_Number,High School Graduation_Percent,"Total Cancer in Children_Age Adjusted Rate Less Than 20 Yrs Old (per 1,000,000 children)",Total Cancer in Children_Average Annual Number Less Than 20 Yrs Old,"Breast Cancer in Females_Age-Adjusted Rate - 50 Yrs and Older (per 100,000)","Breast Cancer in Females_Age-Adjusted Rate Less Than 50 Yrs Old (per 100,000)",Breast Cancer in Females_Average Annual Number - 50 Yrs and Older,Breast Cancer in Females_Average Annual Number Less Than 50 Yrs Old,"Lung and Bronchus Cancer_Age Adjusted Rate - Females (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Males (per 100,000)","Lung and Bronchus Cancer_Age Adjusted Rate - Total (per 100,000)",Lung and Bronchus Cancer_Average Annual Number - Females,Lung and Bronchus Cancer_Average Annual Number - Males,Lung and Bronchus Cancer_Average Annual Number - Total,"Brain and Other Nervous System Cancer_Age Adjusted Rate - Females (per 100,000)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Males (per 100,000 residents)","Brain and Other Nervous System Cancer_Age Adjusted Rate - Total (per 100,000 residents)",Brain and Other Nervous System Cancer_Average Annual Number - Females,Brain and Other Nervous System Cancer_Average Annual Number - Males,Brain and Other Nervous System Cancer_Average Annual Number - Total,med_r_1f,med_r_cn,"Serious crime rate (per 1,000 residents)",pct_prof_ela,pct_prof_math,prox_subway_pct,prox_park_pct,Unhealthy Food Access_Ratio of Bodegas to Supermarkets,School Absenteeism_Percent,"Jail Incarceration_Estimated Annual Rate (per 1,000 adults)","Bicycle Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Pedestrian Injury Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Non-fatal Assault Hospitalizations_Age-Adjusted Rate (per 100,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Age-Adjusted Rate (per 10,000 residents)","Chronic Obstructive Pulmonary Disease  Hospitalization_Estimated Annual Rate (per 10,000 residents)",COVID_CASE_RATE,COVID_DEATH_RATE,PERCENT_POSITIVE,volume_1f,volume_cn,COVID_CASE_COUNT,COVID_DEATH_COUNT,TOTAL_COVID_TESTS,pop_covid_region,Bicycle Injury Hospitalizations_Number,Pedestrian Injury Hospitalizations_Number,Non-fatal Assault Hospitalizations_Number,Chronic Obstructive Pulmonary Disease  Hospitalization_Number,rent_pct_nycha
East Harlem,2004.0,,0.0,0.826732673267327,,,,,,,,,,,,37.0,37,3812.0,7.7,7268.0,7.4,63957.0,74.3,194.7,6.2,306.2,39.1,63.0,16.0,49.3,84.8,62.5,37.0,40.4,77.4,3.2,6.3,4.6,2.2,3.6,5.8,527031.497089844,470921.730712891,,,,0.9754544484365552,0.9998221336843232,17.0,29.000000000000004,11.400000000000002,,30.500000000000004,82.4,37.9,38.2,5110.5448559978695,334.6504336560176,10.108640243720538,20.0,180.0,12660.0,829.0,128497.0,247723.07,0.0,180.0,535.0,1625.0,
Washington Heights/Inwood,2004.0,,0.0022935779816513,0.408256880733945,,,,,,,,,,,,38.0,38,9685.0,12.8,11406.0,6.3,113359.0,70.7,220.8,10.6,276.1,41.1,98.0,28.8,31.7,44.5,36.1,40.8,35.2,76.0,6.1,7.1,6.5,6.8,6.4,13.2,374118.5546875,386130.4325683591,,,,1.0,0.9843946261809841,13.0,18.000000000000004,4.699999999999999,6.5,12.900000000000002,31.800000000000004,17.3,17.0,5548.6526576178385,253.2373093277237,11.610758914811361,40.0,245.0,13037.0,595.0,113188.0,234957.86,60.0,130.0,335.0,1180.0,
Mott Haven/Hunts Point,2004.0,,0.148148148148148,0.993827160493827,,,,,,,,,,,,1.0,1,6346.0,12.5,8488.0,7.9,56689.0,59.5,159.7,8.2,257.8,29.2,49.2,14.8,39.1,60.8,47.5,27.8,30.4,58.2,4.9,4.7,5.4,3.4,3.6,7.0,347445.148920306,168537.74108417472,,,,0.993433293463761,0.9977053224109182,23.80534551474445,32.19465448525555,13.399999999999999,,29.140685780858437,159.12138205897782,61.76733249125824,59.13282923538668,6580.049747505624,316.386944868301,12.990859573724332,184.0,62.0,32964.0,1585.0,256389.0,500968.78,126.0,320.0,1795.0,3952.0,
Morrisania/Belmont,2004.0,,0.109677419354839,1.0,,,,,,,,,,,,2.0,2,7995.0,13.9,9248.0,7.5,65281.0,64.2,196.7,11.2,272.5,38.9,53.8,22.0,46.8,80.7,59.4,34.2,37.8,72.0,4.1,6.0,4.5,3.4,3.6,7.0,347395.80078125006,,,,,0.5362485351150315,0.9969717337056196,33.5960541470271,36.36963965685687,12.4,,31.6463981696176,108.86329365099496,48.55325940884081,45.427187340212186,6063.29011463713,236.74032231163702,13.451024679407716,244.0,3.0,44820.0,1750.0,338068.0,739202.9099999999,0.0,251.0,958.0,2281.0,
Highbridge/South Concourse,2004.0,,0.0677966101694915,0.983050847457627,,,,,,,,,,,,3.0,3,8174.0,16.7,7197.0,6.9,57777.0,65.3,201.7,9.2,282.1,39.7,52.4,19.4,36.0,73.6,55.6,29.2,34.0,63.2,5.2,3.9,4.5,3.8,2.2,6.0,354744.558105469,,,,,0.962980191495135,0.994301662984068,18.0,30.999999999999996,9.3,7.6,19.0,83.9,42.3,39.7,7165.039999999999,249.96,14.509999999999998,13.0,0.0,5389.0,188.0,37603.0,75212.41,12.0,29.0,133.0,383.0,
University Heights/Fordham,2004.0,,0.165354330708661,0.976377952755906,,,,,,,,,,,,4.0,4,8008.0,17.7,6390.0,6.4,54483.0,65.7,195.1,8.8,270.9,36.0,45.0,17.6,42.2,56.5,46.6,23.0,19.6,42.6,2.9,5.6,4.1,2.0,3.0,5.0,332698.28613281203,,,,,0.9827891406838781,0.993445151339888,20.000000000000004,30.000000000000004,11.700000000000001,8.700000000000001,19.9,69.00000000000001,51.300000000000004,42.800000000000004,7094.431520621994,270.9486267053037,14.873699269833619,58.0,0.0,11102.0,424.0,76159.0,156488.99,24.0,54.0,196.0,702.0,
Kingsbridge Heights/Mosholu,2004.0,,0.0524017467248908,0.746724890829694,,,,,,,,,,,,5.0,5,7924.0,17.6,5625.0,5.8,57645.0,68.6,213.3,8.2,281.4,34.1,47.0,15.4,36.0,60.2,45.5,21.4,24.6,46.0,4.5,5.1,4.8,3.0,3.0,6.0,374118.5546875,,,,,0.995222489832985,0.898369329174399,18.0,28.999999999999996,6.9,7.6,16.4,66.1,31.4,27.5,6725.549999999999,343.92,13.64,47.0,0.0,6864.0,351.0,51242.0,102058.58,11.0,24.0,103.0,257.0,
Riverdale/Kingsbridge,2004.0,,0.0,0.0893997445721584,,,,,,,,,,,,6.0,6,3959.0,9.3,4720.0,5.6,63317.0,82.2,203.9,5.0,338.4,46.9,76.2,17.4,40.3,51.0,44.0,35.6,30.6,66.2,5.9,4.7,5.2,3.8,2.6,6.4,828405.37109375,367437.866210938,,,,0.631724045185584,0.943361126053434,10.0,19.0,2.5,,,19.900000000000002,17.1,20.9,6322.833724409953,375.99306813313734,11.695515126787724,180.0,70.0,5768.0,343.0,51881.0,91224.92,0.0,0.0,42.0,304.0,
Soundview/Parkchester,2004.0,,0.0492341356673961,0.672866520787746,,,,,,,,,,,,7.0,7,7118.0,11.0,10778.0,7.5,88254.0,71.2,193.1,10.4,280.0,33.2,80.6,21.6,38.0,57.3,45.7,37.8,39.0,76.8,5.2,6.3,5.6,5.2,4.8,10.0,387479.93164062494,94865.7763671875,,,,0.701497037386608,0.8925593833569289,12.999999999999998,28.999999999999996,6.7,5.4,11.9,54.5,34.6,34.1,6677.176696116215,302.1505023925233,14.040931482472176,206.0,1024.0,8486.0,384.0,61256.0,127089.67000000001,20.0,44.0,204.0,816.0,
Throgs Neck/Co-op City,2004.0,,0.008254716981132,0.027122641509434,,,,,,,,,,,,8.0,8,2492.0,5.2,7852.0,8.1,73158.0,83.7,299.2,7.6,320.3,47.1,86.8,19.6,45.8,69.1,54.7,48.0,47.6,95.6,5.6,6.6,6.1,4.8,3.8,8.6,481009.57031250006,420395.6837646481,,,,0.272116864171379,0.750624487919906,7.0,21.0,2.2000000000000006,,13.300000000000002,32.9,21.600000000000005,27.60000000000001,7181.703101460084,327.4872617408994,13.567528469347845,1076.0,264.0,10000.0,456.0,74579.0,139242.74,0.0,64.0,148.0,964.0,
Pelham Parkway,2004.0,,0.0376884422110553,0.46105527638191,,,,,,,,,,,,9.0,9,4685.0,10.5,6867.0,7.0,68237.0,76.8,297.0,9.6,310.8,40.1,68.2,17.4,38.2,60.2,47.0,32.2,35.8,68.0,4.5,6.1,5.3,3.4,3.8,7.2,467648.19335937494,177706.313476562,,,,0.858007148716747,0.743979257002227,17.0,22.0,4.0,,23.4,55.1,31.8,34.4,6511.25,268.2,13.33,243.0,17.0,4904.0,202.0,37068.0,75315.82,0.0,28.0,65.0,273.0,
Williamsbridge/Baychester,2004.0,,0.0683937823834197,0.288082901554404,,,,,,,,,,,,10.0,10,4478.0,9.2,7040.0,6.2,78224.0,80.0,206.9,8.2,302.1,40.9,71.0,22.0,34.1,48.9,40.0,29.4,28.6,58.0,3.4,7.1,4.9,2.6,4.2,6.8,397500.9643554689,,,,,0.747298754959139,0.45816041099146204,8.0,30.0,5.9,7.200000000000001,22.3,69.0,27.599999999999998,28.9,6568.762117899796,373.7770752544459,13.94646031858398,951.0,0.0,10439.0,594.0,76723.0,158918.85,33.0,105.0,321.0,894.0,
Williamsburg/Greenpoint,2004.0,,0.0072202166064982,0.772563176895307,,,,,,,,,,,,11.0,11,5580.0,8.7,5364.0,4.2,95227.0,83.7,215.0,8.0,257.4,45.6,47.2,19.8,35.9,47.6,40.7,24.6,23.4,48.0,3.7,5.1,4.4,3.0,3.4,6.4,581219.897460938,400841.30859375,,,,0.922287834511525,0.8904099622897751,25.0,19.0,2.8,6.6000000000000005,16.3,21.600000000000005,20.2,14.600000000000001,4639.633390082759,163.02641544672804,8.68941963478366,75.0,699.0,10416.0,366.0,122458.0,224500.36,39.0,81.0,138.0,582.0,
Brooklyn Heights/Fort Greene,2004.0,,0.0069375619425173,0.172447968285431,,,,,,,,,,,,12.0,12,3551.0,6.1,5358.0,4.7,91088.0,89.5,210.5,5.0,339.6,54.8,58.2,24.8,43.8,49.0,45.9,28.2,22.2,50.4,3.3,6.5,4.8,2.6,3.4,6.0,1292713.22021484,765085.8057128912,,,,0.9435549313358301,0.9736579275905121,12.0,20.0,4.7,8.9,10.600000000000001,32.3,21.8,17.0,3173.9473905983796,192.70762540025294,5.279956340683055,48.0,444.0,4974.0,302.0,96582.0,156713.4,33.0,39.0,117.0,456.0,
Bedford Stuyvesant,2004.0,,0.0513126491646778,0.924821002386635,,,,,,,,,,,,13.0,13,4417.0,8.5,5014.0,4.7,74790.0,80.7,161.0,7.0,310.6,49.2,55.6,23.6,42.0,70.4,53.0,27.0,30.4,57.4,4.3,4.2,4.1,3.4,2.2,5.2,506396.18652343797,334034.42382812494,,,,0.8767133404230177,0.9419384379061799,57.0,30.999999999999996,11.299999999999999,9.6,8.899999999999999,65.2,31.3,29.400000000000002,3601.317483274386,146.77277968676614,7.202087970018499,112.0,198.0,3607.0,147.0,50523.0,100157.76000000001,30.0,26.0,206.0,588.0,
Bushwick,2004.0,,0.0882852292020374,1.0,,,,,,,,,,,,14.0,14,5335.0,11.6,4743.0,4.4,61859.0,69.3,176.9,6.4,261.8,42.0,39.4,17.6,37.4,69.4,49.0,20.8,25.8,46.6,2.3,5.2,3.8,1.4,3.0,4.4,434244.750976562,,,,,0.979316726690676,0.765256102440976,30.999999999999996,22.0,7.200000000000001,8.3,13.7,38.8,32.4,26.0,4560.364940051601,215.53959718735874,9.426786903903636,54.0,0.0,5903.0,279.0,63133.0,129441.32,20.0,30.0,92.0,374.0,
East New York/Starrett City,2004.0,,0.114130434782609,0.908514492753623,,,,,,,,,,,,15.0,15,7798.0,14.3,8422.0,7.2,79236.0,78.6,165.5,8.2,279.3,36.7,66.4,21.0,36.4,70.7,49.5,30.4,38.8,69.2,4.3,4.2,4.1,3.6,2.6,6.2,358084.90234375006,113571.70410156202,,,,0.7123246745078311,0.8535756965846912,13.000000000000002,30.000000000000004,10.200000000000001,11.8,25.7,82.60000000000001,52.60000000000001,52.80000000000001,6025.90600041411,301.664949004794,13.419422955042842,1250.0,5.0,23032.0,1153.0,174826.0,382216.31999999995,105.0,230.0,755.0,3010.0,
Park Slope/Carroll Gardens,2004.0,,0.0009930486593843,0.0973187686196624,,,,,,,,,,,,16.0,16,2458.0,5.0,3865.0,4.1,80534.0,91.5,162.5,3.6,265.5,50.0,38.4,21.8,46.5,45.0,45.6,22.8,16.8,39.6,6.0,6.0,6.1,3.2,3.0,6.2,1282692.1875,688192.4174853521,,,,0.910339346443886,0.854779683572379,12.0,10.0,2.3,,10.8,24.0,20.6,14.5,2753.2440793076703,89.72035564807804,5.014517724133418,78.0,668.0,2946.0,96.0,58890.0,107001.0,0.0,22.0,48.0,244.0,
Sunset Park,2004.0,,0.0030721966205837,0.632872503840246,,,,,,,,,,,,17.0,17,8963.0,19.7,5259.0,4.7,60941.0,59.8,261.5,10.6,267.9,40.8,49.8,20.4,39.0,67.3,50.7,25.2,35.0,60.2,6.6,6.1,6.4,5.0,4.4,9.4,688110.9130859378,555485.8854492189,,,,0.9439329930893021,0.7753412615076549,45.0,8.999999999999998,3.1,10.999999999999998,17.0,19.1,20.1,14.099999999999998,5834.326836253247,196.4195560752944,12.891469203294735,228.0,408.0,14198.0,478.0,112066.0,243352.98,60.0,76.0,104.0,516.0,
North Crown Heights/Prospect Heights,2004.0,,0.0302491103202847,0.669039145907473,,,,,,,,,,,,18.0,18,3084.0,5.8,4686.0,4.5,77780.0,83.8,230.2,7.0,293.7,52.0,55.8,24.8,40.9,45.7,37.5,27.4,20.0,47.4,4.0,5.7,4.8,2.8,3.0,5.8,587900.5859375,420883.374023438,,,,0.982119996586157,0.767474609541692,25.0,28.0,9.5,,23.6,69.2,40.7,36.6,4882.26,246.13,10.73,25.0,56.0,3154.0,159.0,29690.0,64601.26,0.0,22.0,70.0,253.0,
South Crown Heights,2004.0,,0.0688259109311741,0.765182186234818,,,,,,,,,,,,19.0,19,4004.0,9.6,3445.0,4.0,65455.0,86.0,150.7,4.2,291.0,43.4,58.0,16.8,28.5,52.4,38.7,19.8,23.0,42.8,3.2,7.3,5.1,2.2,3.8,6.0,601261.962890625,420883.374023438,,,,0.904834030755012,0.70454137036942,21.0,22.000000000000004,6.4,,16.5,62.3,19.3,19.8,4188.57,262.55,8.89,81.0,9.0,2409.0,151.0,27231.0,57513.69,0.0,16.0,62.0,135.0,
Bay Ridge,2004.0,,0.0011428571428571,0.0948571428571429,,,,,,,,,,,,20.0,20,5025.0,10.5,5819.0,5.8,74082.0,81.1,298.7,7.8,334.6,58.5,77.8,25.2,51.5,75.9,61.3,44.6,47.6,92.2,5.6,9.0,7.4,4.0,5.6,9.6,741556.420898438,502387.7734375,,,,0.743662394685981,0.597920927701574,20.0,8.0,1.7,8.7,10.7,16.8,15.4,15.700000000000001,5090.76,198.48,10.1,185.0,86.0,3437.0,134.0,34453.0,67514.44,11.0,16.0,21.0,163.0,
Bensonhurst,2004.0,,0.0012269938650306,0.386503067484663,,,,,,,,,,,,21.0,21,8615.0,13.5,10331.0,6.8,101318.0,73.7,203.5,8.4,292.9,47.4,100.6,29.4,44.3,84.3,61.8,57.8,84.6,142.4,4.7,8.4,6.5,5.4,8.0,13.4,620635.9594726559,548711.6673339838,,,,0.8651400259810877,0.4597746291652819,26.999999999999996,10.999999999999998,1.7,5.299999999999999,12.299999999999997,17.099999999999998,15.399999999999999,16.7,6221.143202910177,237.87468515550373,14.394869265698054,508.0,240.0,18438.0,705.0,129314.0,296376.31000000006,40.0,104.0,140.0,980.0,
Borough Park,2004.0,,0.0018939393939393,0.585227272727273,,,,,,,,,,,,22.0,22,9295.0,20.3,7641.0,7.3,69081.0,76.9,222.7,13.8,289.0,46.5,61.2,18.4,32.1,52.4,41.5,25.8,34.2,60.0,8.2,9.4,8.7,6.4,7.4,13.8,721514.35546875,430236.33789062494,,,,0.9145287784128668,0.396467499667686,18.0,10.0,1.4999999999999998,10.099999999999998,22.9,22.699999999999996,13.2,12.5,6162.90494459571,229.76863483352017,13.026279396837305,244.0,122.0,10112.0,377.0,78875.0,164078.45,38.0,80.0,84.0,284.0,
Coney Island,2004.0,,0.0029455081001472,0.494845360824742,,,,,,,,,,,,23.0,23,4394.0,9.6,11829.0,13.1,68009.0,81.8,244.0,6.0,325.3,51.1,95.8,18.2,37.0,76.0,53.0,43.2,61.4,104.6,4.7,10.6,7.3,3.8,6.6,10.4,394160.620117188,677421.811523438,,,,0.729082973225337,0.850035829840829,21.0,25.0,4.1,,15.1,51.5,26.2,35.6,6710.49,540.3,14.64,97.0,151.0,3105.0,250.0,21937.0,46270.81,0.0,17.0,54.0,280.0,
Flatbush,2004.0,,0.0066889632107023,0.55685618729097,,,,,,,,,,,,24.0,24,7947.0,13.8,7892.0,6.5,88044.0,82.6,207.8,9.2,308.1,38.9,85.0,20.6,31.5,45.5,36.9,30.8,31.0,61.8,4.1,7.4,5.6,3.8,5.8,9.6,868489.501953125,327353.735351562,,,,0.9465829270308241,0.297115940831336,21.0,17.0,3.8,8.9,16.1,32.2,17.8,18.800000000000004,6434.022510203133,328.5977235677937,12.927042643293921,372.0,38.0,11983.0,612.0,92278.0,186244.29,28.0,54.0,106.0,414.0,
Sheepshead Bay/Gravesend,2004.0,,0.0,0.101149425287356,,,,,,,,,,,,25.0,25,5336.0,9.4,9125.0,7.6,91550.0,84.7,229.2,8.0,326.8,51.9,100.6,24.6,49.6,70.7,58.1,56.8,62.6,119.4,7.0,10.0,8.4,6.6,8.6,15.2,661722.1936035159,488820.63127929706,,,,0.58082788671024,0.6561002178649241,25.0,13.999999999999998,1.8999999999999997,10.2,13.2,14.399999999999999,17.000000000000004,21.0,6943.7089255563105,325.2370825291851,14.825924488909198,784.0,216.0,11230.0,526.0,76909.0,161729.09,32.0,54.0,48.0,518.0,
Brownsville/Ocean Hill,2004.0,,0.0956521739130435,0.956521739130435,,,,,,,,,,,,26.0,26,3301.0,7.4,5948.0,6.6,57762.0,74.7,159.6,6.4,302.9,41.0,53.4,19.4,43.2,28.6,54.3,27.2,28.6,55.8,3.9,5.2,4.4,2.6,2.4,5.0,334926.963808594,122657.44042968798,,,,0.8941486050591358,0.8874992926263368,15.0,39.99999999999999,16.399999999999995,,38.099999999999994,108.09999999999998,60.39999999999999,61.199999999999996,4742.724338423413,282.55440000865866,10.792007692474204,130.0,4.0,7033.0,419.0,65341.0,148290.39,0.0,64.0,182.0,638.0,
East Flatbush,2004.0,,0.0987821380243572,0.511502029769959,,,,,,,,,,,,27.0,27,4031.0,8.2,4567.0,4.3,81377.0,85.7,184.4,6.4,288.3,41.0,76.0,21.2,19.7,43.1,28.9,16.8,25.6,42.4,3.7,4.6,4.1,3.2,3.2,6.4,407521.997070312,220462.719726562,,,,0.580608418322644,0.383433217677777,21.0,22.0,5.8,,17.0,76.0,18.2,19.9,5233.63,350.55,12.11,252.0,8.0,3837.0,257.0,32044.0,73314.38,0.0,27.0,115.0,217.0,
Flatlands/Canarsie,2004.0,,0.0389854391733208,0.0103334899013621,,,,,,,,,,,,28.0,28,5029.0,7.3,8570.0,5.3,125777.0,87.6,167.2,8.8,298.0,48.2,108.0,35.8,33.5,58.9,43.5,41.6,49.2,90.8,4.4,8.0,5.9,5.0,7.2,12.2,494370.94726562494,307311.669921875,,,,0.12663628578419397,0.7251804502079768,9.0,16.999999999999996,3.3,,14.499999999999998,38.79999999999999,22.299999999999997,24.099999999999998,5432.138897667981,275.24921611504965,12.945615843197547,2430.0,276.0,13953.0,707.0,108696.0,256860.27000000002,0.0,87.0,219.0,963.0,
Astoria,2004.0,,0.0044345898004434,0.263858093126386,,,,,,,,,,,,39.0,39,4656.0,6.4,7463.0,5.0,113246.0,84.6,210.6,7.0,258.1,45.6,70.2,26.2,37.0,59.8,46.7,38.2,45.2,83.4,3.1,7.4,5.1,2.4,5.8,8.2,621304.028320312,289941.87988281203,,,,0.729352586104865,0.633329388093265,10.0,16.0,3.0,8.8,11.000000000000002,58.10000000000001,27.6,23.8,5303.227112374778,197.86369257908834,9.874960937630075,576.0,732.0,10989.0,410.0,113907.0,207213.49,108.0,138.0,750.0,2130.0,
Sunnyside/Woodside,2004.0,,0.0,0.297872340425532,,,,,,,,,,,,40.0,40,6395.0,12.2,3475.0,3.0,87250.0,81.9,173.2,4.6,266.1,41.9,54.4,19.8,38.1,53.9,44.1,27.8,30.0,57.8,4.1,7.0,5.4,3.2,4.6,7.8,578013.166992188,399505.17089843797,,,,0.892801462286974,0.7885059943013819,16.0,9.0,1.8999999999999997,,14.599999999999998,12.099999999999998,13.4,10.999999999999998,6171.9098593476065,244.6881024686339,11.466207463993937,237.0,135.0,7113.0,282.0,62991.0,115247.95000000001,0.0,69.0,48.0,336.0,
Jackson Heights,2004.0,,0.0059523809523809,0.482142857142857,,,,,,,,,,,,41.0,41,10061.0,18.7,5559.0,4.0,87710.0,70.8,198.5,9.4,244.9,34.9,63.2,21.2,28.2,46.4,35.4,26.0,31.6,57.6,3.2,3.9,3.5,3.0,3.4,6.4,561498.5050781252,291278.017578125,,,,0.595341072919038,0.614595189316337,17.0,11.000000000000002,4.0,8.4,10.2,23.2,14.9,12.8,7723.265354011702,458.2730933713972,14.372741814256228,843.0,171.0,15808.0,938.0,111174.0,204680.24,45.0,57.0,129.0,474.0,
Elmhurst/Corona,2004.0,,0.0039682539682539,0.650793650793651,,,,,,,,,,,,42.0,42,9362.0,22.0,5840.0,5.3,70492.0,71.1,196.3,7.0,251.1,34.8,52.2,17.4,34.7,52.5,42.1,24.8,29.2,54.0,3.6,6.5,5.1,2.8,4.6,7.4,581219.897460938,307311.669921875,,,,0.7222338343435879,0.682767400763866,16.0,9.0,2.7,9.0,15.6,27.1,15.700000000000001,13.799999999999999,7090.67,325.13,13.71,105.0,85.0,6499.0,298.0,47951.0,91655.7,16.0,30.0,54.0,180.0,
Middle Village/Ridgewood,2004.0,,0.0083643122676579,0.190520446096654,,,,,,,,,,,,43.0,43,3647.0,5.9,5419.0,3.8,107276.0,84.0,180.4,7.4,285.7,45.6,82.2,27.8,53.7,63.7,57.9,57.0,52.4,109.4,6.2,5.0,5.6,6.2,4.4,10.6,553829.0747070309,284697.53942871094,,,,0.39661674062182894,0.543729460404961,15.0,15.0,2.4999999999999996,9.499999999999998,10.6,18.8,19.8,19.7,5641.816065019878,198.9812589411177,12.461253250548916,1062.0,54.0,9952.0,351.0,81029.0,176397.13,48.0,54.0,93.0,690.0,
Rego Park/Forest Hills,2004.0,,0.0005617977528089,0.0376404494382022,,,,,,,,,,,,44.0,44,3634.0,7.0,6020.0,6.3,83010.0,92.0,230.2,4.6,332.5,49.3,86.6,20.2,37.4,50.7,42.9,37.6,36.0,73.6,6.4,8.5,7.5,5.8,4.8,10.6,740888.352050781,367437.866210938,,,,0.80083450235603,0.735171396712348,5.0,8.0,1.0,,16.5,,13.4,16.1,5566.293396844637,286.70366964535674,11.341203961361352,528.0,254.0,6271.0,323.0,55838.0,112660.26000000001,0.0,40.0,0.0,290.0,
Flushing/Whitestone,2004.0,,0.0020738282870178,0.174201576109498,,,,,,,,,,,,45.0,45,8016.0,9.2,10058.0,4.9,146148.0,77.1,163.7,8.0,308.7,53.8,163.8,49.8,43.2,58.2,49.5,84.8,87.4,172.2,5.1,5.3,5.2,7.6,7.8,15.4,708152.9785156251,440925.43945312506,,,,0.32102945078270106,0.707338816662245,6.000000000000001,8.0,1.6000000000000003,4.5,18.0,15.1,11.800000000000002,14.300000000000004,5222.323759824022,354.08939902016743,11.540882784519427,2776.0,1592.0,10147.0,688.0,89823.0,194300.52999999997,40.0,216.0,152.0,1140.0,
Hillcrest/Fresh Meadows,2004.0,,0.0006596306068601,0.0046174142480211,,,,,,,,,,,,46.0,46,5537.0,10.0,6244.0,4.8,97041.0,85.5,208.7,8.0,300.5,41.8,86.6,21.6,33.1,54.2,42.1,35.8,44.0,79.8,5.2,7.7,6.4,4.6,6.0,10.6,688110.9130859381,348731.938476562,,,,0.28065039503386,0.7098088318284419,5.0,14.0,1.8999999999999997,,11.1,18.7,12.9,14.999999999999998,5953.577953438628,283.6578010208978,13.436069071503104,3135.0,430.0,12971.0,618.0,97516.0,217869.01,0.0,95.0,150.0,820.0,
Ozone Park/Woodhaven,2004.0,,0.0261716372489349,0.168594035301278,,,,,,,,,,,,47.0,47,4348.0,9.7,5936.0,4.9,81466.0,77.8,203.1,7.8,268.2,41.1,55.2,21.6,35.1,59.4,45.3,25.6,32.8,58.4,5.6,6.4,5.9,3.8,4.0,7.8,454286.81640625,296622.568359375,,,,0.908454085195531,0.46820443435754194,10.999999999999998,16.0,3.5,,22.399999999999995,33.39999999999999,19.499999999999996,16.199999999999996,6935.167857980462,282.8768743451976,14.878549074570191,1488.0,123.0,6693.0,273.0,45872.0,96508.13,0.0,99.0,147.0,486.0,
South Ozone Park/Howard Beach,2004.0,,0.0260707635009311,0.0391061452513966,,,,,,,,,,,,48.0,48,3044.0,7.7,7382.0,6.7,73994.0,76.9,223.1,7.0,290.3,35.8,62.8,16.4,41.4,64.9,51.2,31.4,37.8,69.2,5.9,6.6,6.2,4.2,4.2,8.4,474328.881835938,393358.93750000006,,,,0.393896054143788,0.398467628655344,8.0,16.0,3.7,,9.800000000000002,38.20000000000001,22.9,22.5,6962.174759860871,238.82723730218052,15.93190808313191,6048.0,640.0,18074.0,620.0,115152.0,259602.84,0.0,104.0,368.0,1568.0,
Bayside/Little Neck,2004.0,,0.0018137847642079,0.0006045949214026,,,,,,,,,,,,49.0,49,1467.0,3.4,4454.0,4.5,80671.0,88.8,251.6,6.2,312.6,50.6,80.4,22.0,36.4,61.8,47.3,34.8,45.8,80.6,4.5,7.8,6.1,3.6,5.0,8.6,752245.5224609378,460967.5048828119,,,,0.20545073375262102,0.6865828092243189,5.0,5.0,1.0,,9.1,,10.6,13.0,4118.631010429971,178.05587461432785,9.224343922574512,7176.0,952.0,6870.0,297.0,74818.0,166802.95,0.0,80.0,0.0,928.0,
Jamaica,2004.0,,0.0793843661401377,0.257189145402997,,,,,,,,,,,,50.0,50,7163.0,10.1,10771.0,5.8,133121.0,80.9,157.2,9.6,284.9,40.9,111.0,33.6,35.5,50.3,41.0,49.8,46.0,95.8,3.0,4.7,3.7,3.8,4.8,8.6,399839.2053222659,209105.54931640596,,,,0.4074489863303179,0.5874001188668029,19.999999999999996,21.999999999999993,7.799999999999999,,18.299999999999997,58.699999999999996,23.099999999999998,25.399999999999995,5938.39815190266,304.88796269004973,13.618239989770535,5748.0,8.0,10245.0,526.0,76422.0,172521.27000000002,0.0,180.0,540.0,1612.0,
Queens Village,2004.0,,0.0320747056435242,0.0129922858302883,,,,,,,,,,,,51.0,51,2877.0,4.8,8234.0,5.0,127658.0,87.8,143.3,6.6,300.6,48.1,114.4,33.6,31.0,50.3,38.5,43.2,46.0,89.2,3.4,6.8,4.9,4.6,6.4,11.0,466980.124511719,353408.4204101561,,,,0.0911827603224215,0.3841092284915281,14.000000000000002,15.000000000000002,3.5000000000000004,,5.6,20.3,14.9,17.4,5850.4735908585435,260.37867523377963,13.754194718162978,15720.0,40.0,15279.0,680.0,113817.0,261158.37999999998,0.0,120.0,390.0,2400.0,
